ticker_name,symbole,date,ouverture,haut,bas,cloture,volume
STA,STA,2023-08-29,22.45,22.48,22.0,22.35,469
STA,STA,2023-08-30,22.35,22.35,22.0,22.3,1500
STA,STA,2023-08-31,22.3,22.3,22.29,22.3,420
STA,STA,2023-09-01,22.3,22.39,22.3,22.39,21
STA,STA,2023-09-04,22.39,22.39,22.3,22.3,1
STA,STA,2023-09-08,20.97,22.0,20.5,22.0,3220
STA,STA,2023-09-11,22.0,22.0,21.9,22.0,263
STA,STA,2023-09-12,22.0,22.0,22.0,22.0,110
STA,STA,2023-09-13,22.0,22.0,22.0,22.0,200
STA,STA,2023-09-15,22.0,22.0,21.98,21.99,15
STA,STA,2023-09-19,21.99,21.99,21.98,21.99,220
STA,STA,2023-09-21,21.99,21.99,21.98,21.98,27
STA,STA,2023-09-22,21.98,21.98,21.7,21.98,80
STA,STA,2023-09-25,21.98,21.98,21.8,21.8,17
STA,STA,2023-09-26,21.8,21.8,21.79,21.8,3127
STA,STA,2023-09-29,21.8,21.8,21.4,21.7,5955
STA,STA,2023-10-03,21.7,21.7,20.5,21.6,590
STA,STA,2023-10-05,21.6,21.6,21.59,21.6,750
STA,STA,2023-10-13,21.6,21.6,21.17,21.54,2520
STA,STA,2023-10-18,21.54,21.55,20.69,21.0,2711
STA,STA,2023-10-19,21.0,21.55,21.0,21.55,9
STA,STA,2023-10-23,21.55,21.55,21.55,21.55,130
STA,STA,2023-10-24,21.55,21.55,21.54,21.54,366
STA,STA,2023-10-25,21.54,21.55,21.39,21.4,1293
STA,STA,2023-10-30,21.4,21.45,21.4,21.45,1
STA,STA,2023-11-01,21.45,21.55,21.0,21.39,1403
STA,STA,2023-11-02,21.39,21.4,20.98,20.98,626
STA,STA,2023-11-03,20.98,20.98,20.57,20.96,646
STA,STA,2023-11-06,20.96,21.4,20.96,21.28,477
STA,STA,2023-11-07,21.28,21.28,21.28,21.28,2
STA,STA,2023-11-08,21.28,21.28,21.24,21.24,26
STA,STA,2023-11-09,21.24,21.24,20.49,20.5,446
STA,STA,2023-11-13,20.5,20.5,20.0,20.0,273
STA,STA,2023-11-14,20.0,21.2,20.0,21.2,1703
STA,STA,2023-11-16,21.2,21.2,19.94,20.0,1526
STA,STA,2023-11-17,20.0,20.0,20.0,20.0,5
STA,STA,2023-11-20,20.0,20.0,19.99,20.0,240
STA,STA,2023-11-21,20.0,20.0,19.99,20.0,1745
STA,STA,2023-11-22,20.0,20.0,19.99,20.0,870
STA,STA,2023-11-24,20.0,20.0,19.9,19.99,1156
STA,STA,2023-11-27,19.99,19.99,19.97,19.98,1207
STA,STA,2023-11-28,19.98,19.98,19.98,19.98,338
STA,STA,2023-11-29,19.98,19.98,19.95,19.98,107
STA,STA,2023-11-30,19.98,19.98,19.89,19.89,204
STA,STA,2023-12-01,19.89,19.98,19.0,19.98,60
STA,STA,2024-03-04,19.2,19.2,19.19,19.19,1000
STA,STA,2024-03-05,19.19,19.2,19.19,19.2,806
STA,STA,2024-03-06,19.2,19.2,19.19,19.2,1192
STA,STA,2024-03-07,19.2,19.2,19.15,19.15,500
STA,STA,2024-03-08,19.15,19.15,19.14,19.14,470
STA,STA,2024-03-11,19.14,19.14,19.12,19.13,1000
STA,STA,2024-03-12,19.13,19.13,19.13,19.13,1000
STA,STA,2024-03-13,19.13,19.13,19.12,19.13,1915
STA,STA,2024-03-14,19.13,19.13,19.12,19.13,360
STA,STA,2024-03-15,19.13,19.13,19.1,19.11,2652
STA,STA,2024-03-18,19.11,19.11,19.1,19.1,52
STA,STA,2024-03-19,19.1,19.1,19.1,19.1,26
STA,STA,2024-03-25,19.1,19.1,18.1,19.05,485
STA,STA,2024-03-27,19.05,19.05,18.99,18.99,5
STA,STA,2024-03-28,18.99,19.05,18.5,19.0,2426
STA,STA,2024-04-01,19.0,19.0,18.99,19.0,116
STA,STA,2024-04-04,19.0,19.0,19.0,19.0,614
STA,STA,2024-04-05,19.0,19.0,18.17,18.98,381
STA,STA,2024-04-08,18.98,19.05,18.98,19.05,460
STA,STA,2024-04-15,19.05,19.05,19.0,19.0,1
STA,STA,2024-04-16,19.0,19.0,18.98,19.0,53201
STA,STA,2024-04-17,19.0,19.0,19.0,19.0,45
STA,STA,2024-04-18,19.0,19.0,19.0,19.0,38
STA,STA,2024-05-02,19.38,19.38,19.38,19.38,2
STA,STA,2024-05-03,20.0,20.0,20.0,20.0,2
STA,STA,2024-05-06,19.3,20.0,19.3,20.0,223
STA,STA,2024-05-07,19.5,19.5,19.5,19.5,506
STA,STA,2024-05-08,19.5,19.5,19.5,19.5,2
STA,STA,2024-05-10,19.11,19.5,19.11,19.5,187
STA,STA,2024-05-14,19.5,20.0,18.72,20.0,735
STA,STA,2024-05-15,20.0,20.5,20.0,20.24,185
STA,STA,2024-05-16,20.5,20.5,20.24,20.5,48
STA,STA,2024-05-17,20.1,20.49,20.1,20.49,13
STA,STA,2024-05-20,20.49,20.5,19.5,19.5,853
STA,STA,2024-05-21,20.5,20.5,20.5,20.5,30
STA,STA,2024-05-22,20.5,20.5,20.45,20.45,21
STA,STA,2024-05-23,20.44,20.44,19.23,20.42,120
STA,STA,2024-05-27,20.42,20.42,20.0,20.0,110
STA,STA,2024-05-28,20.41,20.42,20.41,20.42,95
STA,STA,2024-05-29,19.61,19.61,19.61,19.61,145
STA,STA,2024-05-30,19.61,19.61,19.61,19.61,5
STA,STA,2024-05-31,19.5,20.4,19.5,20.4,90
STA,STA,2024-06-03,20.3,20.42,20.0,20.39,276
STA,STA,2024-06-05,20.39,20.39,19.19,19.19,430
STA,STA,2024-06-06,19.19,20.0,19.19,20.0,60
STA,STA,2024-06-12,20.0,20.0,18.8,18.8,20
STA,STA,2024-06-13,18.8,19.9,18.8,19.52,65
STA,STA,2024-06-14,19.52,19.95,19.4,19.9,156
STA,STA,2024-06-19,19.9,19.9,19.5,19.5,2
STA,STA,2024-06-26,19.5,19.5,19.0,19.0,43
STA,STA,2024-06-27,19.0,19.0,19.0,19.0,10
STA,STA,2024-06-28,19.0,19.5,19.0,19.5,1767
STA,STA,2024-07-01,19.5,20.0,19.0,19.98,221
STA,STA,2024-07-02,19.98,19.98,18.9,19.0,252
STA,STA,2024-07-03,19.0,19.4,19.0,19.4,140
STA,STA,2024-07-04,19.4,19.97,19.14,19.14,131
STA,STA,2024-07-05,19.14,19.98,19.14,19.9,244
STA,STA,2024-07-08,19.9,19.9,19.0,19.85,239
STA,STA,2024-07-09,19.85,19.85,19.0,19.76,1930
STA,STA,2024-07-12,19.76,19.76,19.1,19.35,118
STA,STA,2024-07-17,19.35,19.35,19.0,19.35,26
STA,STA,2024-07-18,19.35,19.35,18.75,19.35,160
STA,STA,2024-07-22,19.35,19.35,19.0,19.32,76
STA,STA,2024-07-23,19.32,19.33,19.3,19.3,377
STA,STA,2024-07-24,18.3,19.3,18.3,19.1,80
STA,STA,2024-07-26,19.1,19.5,19.1,19.5,98
STA,STA,2024-07-29,19.5,19.65,19.5,19.65,2
STA,STA,2024-08-01,19.65,20.0,19.49,20.0,170
STA,STA,2024-08-05,20.0,20.0,19.85,19.85,562
STA,STA,2024-08-06,19.85,19.85,19.75,19.75,349
STA,STA,2024-08-07,19.75,19.75,19.5,19.68,950
STA,STA,2024-08-08,19.68,19.69,18.7,19.0,1424
STA,STA,2024-08-09,19.0,19.5,19.0,19.4,233
STA,STA,2024-08-12,19.4,19.48,18.8,19.3,91
STA,STA,2024-08-14,19.3,19.3,19.29,19.3,20
STA,STA,2024-08-15,19.3,19.3,19.1,19.1,3
STA,STA,2024-08-19,19.1,19.1,19.0,19.1,35
STA,STA,2024-08-26,19.1,19.1,18.95,18.95,50
STA,STA,2024-08-28,18.95,18.95,18.6,18.94,620
STA,STA,2024-08-29,18.94,18.94,18.55,18.94,11
STA,STA,2024-08-30,18.94,18.95,18.5,18.95,1403
STA,STA,2024-09-02,18.95,19.85,18.95,19.84,924
STA,STA,2024-09-03,19.84,19.84,19.79,19.8,3475
STA,STA,2024-09-04,19.8,19.83,19.8,19.83,24
STA,STA,2024-09-05,19.83,19.83,19.5,19.5,503
STA,STA,2024-09-12,19.5,19.5,19.11,19.5,1620
STA,STA,2024-09-13,19.5,19.5,18.68,19.45,232
STA,STA,2024-09-16,19.45,19.45,19.4,19.45,73
STA,STA,2024-09-17,19.45,19.45,19.39,19.4,7
STA,STA,2024-09-20,19.4,19.4,19.29,19.3,20
STA,STA,2024-09-24,19.3,19.3,18.75,18.99,1592
STA,STA,2024-09-25,18.99,19.0,18.71,18.99,21
STA,STA,2024-09-26,18.99,19.0,18.5,18.99,746
STA,STA,2024-09-27,18.99,18.99,18.3,18.99,843
STA,STA,2024-09-30,18.99,18.99,18.62,18.97,408
STA,STA,2024-10-01,18.97,19.3,18.97,19.3,420
STA,STA,2024-10-03,19.3,19.3,19.25,19.25,9
STA,STA,2024-10-04,19.25,19.25,19.18,19.19,2930
STA,STA,2024-10-07,19.19,19.2,19.18,19.18,31
STA,STA,2024-10-08,19.18,19.19,19.18,19.19,940
STA,STA,2024-10-09,19.19,19.19,18.04,18.04,8438
STA,STA,2024-10-10,18.04,18.8,18.04,18.8,6
STA,STA,2024-10-11,18.8,18.88,18.0,18.44,2090
STA,STA,2024-10-14,18.44,18.75,18.0,18.7,312
STA,STA,2024-10-16,18.7,19.17,18.2,19.17,3853
STA,STA,2024-10-17,19.17,19.17,19.0,19.0,276
STA,STA,2024-10-21,19.0,19.0,18.2,18.88,3923
STA,STA,2024-10-22,18.88,19.17,18.8,18.98,1741
STA,STA,2024-10-23,18.98,19.0,18.98,19.0,200
STA,STA,2024-10-25,19.0,19.0,18.0,18.72,5600
STA,STA,2024-10-28,18.72,18.76,18.38,18.76,1916
STA,STA,2024-10-29,18.76,18.76,18.76,18.76,250
STA,STA,2024-10-30,18.76,18.76,18.22,18.61,174
STA,STA,2024-10-31,18.61,18.75,18.5,18.73,548
STA,STA,2024-11-01,18.73,19.25,18.73,19.25,2787
STA,STA,2024-11-04,19.25,19.5,19.11,19.5,4463
STA,STA,2024-11-05,19.5,19.6,19.5,19.6,1240
STA,STA,2024-11-06,19.6,19.6,19.25,19.55,255
STA,STA,2024-11-07,19.55,19.6,19.0,19.37,2949
STA,STA,2024-11-08,19.37,19.6,18.66,19.0,4833
STA,STA,2024-11-11,19.0,19.4,19.0,19.3,282
STA,STA,2024-11-12,19.3,19.34,18.85,19.0,1868
STA,STA,2024-11-13,19.0,19.0,18.85,19.0,1080
STA,STA,2024-11-14,19.0,19.0,18.8,19.0,325
STA,STA,2024-11-15,19.0,19.33,18.5,18.5,8926
STA,STA,2024-11-18,18.5,19.0,18.5,18.95,434
STA,STA,2024-11-19,18.95,18.95,18.6,18.92,628
STA,STA,2024-11-20,18.92,18.93,18.2,18.2,6063
STA,STA,2024-11-21,18.2,18.89,18.11,18.77,5017
STA,STA,2024-11-22,18.77,18.77,18.11,18.7,360
STA,STA,2024-11-25,18.7,18.7,18.3,18.69,698
STA,STA,2024-11-26,18.69,18.8,18.69,18.8,10
STA,STA,2024-11-27,18.8,18.8,18.2,18.5,1816
STA,STA,2024-11-28,18.5,18.75,18.1,18.64,2471
STA,STA,2024-11-29,18.64,18.93,18.5,18.93,11606
STA,STA,2024-12-02,18.93,19.62,18.93,19.29,3579
STA,STA,2024-12-03,19.29,19.3,19.0,19.29,842
STA,STA,2024-12-04,19.29,19.29,18.8,19.0,3599
STA,STA,2024-12-05,19.0,19.25,19.0,19.25,255
STA,STA,2024-12-06,19.25,19.25,19.0,19.2,4601
STA,STA,2024-12-09,19.2,19.29,18.85,19.2,2771
STA,STA,2024-12-10,19.2,19.2,19.0,19.15,225
STA,STA,2024-12-11,19.15,19.19,18.9,19.18,2620
STA,STA,2024-12-12,19.18,19.6,19.18,19.58,3316
STA,STA,2024-12-13,19.58,20.75,19.58,20.53,6407
STA,STA,2024-12-16,20.53,21.0,20.53,20.77,5017
STA,STA,2024-12-18,20.77,22.0,20.77,22.0,6059
STA,STA,2024-12-19,22.0,22.79,21.56,22.0,9515
STA,STA,2024-12-20,22.0,22.0,21.0,21.0,4838
STA,STA,2024-12-23,21.0,21.39,21.0,21.0,1224
STA,STA,2024-12-24,21.0,21.8,20.52,21.0,15847
STA,STA,2024-12-25,21.0,21.42,21.0,21.0,3080
STA,STA,2024-12-30,21.25,21.3,21.0,21.0,3011
STA,STA,2024-12-31,21.0,21.4,20.92,21.0,8216
STA,STA,2025-01-02,21.0,21.3,21.0,21.2,4326
STA,STA,2025-01-03,21.2,21.79,21.0,21.79,7136
STA,STA,2025-01-06,21.79,21.8,21.0,21.69,5180
STA,STA,2025-01-07,21.69,21.72,21.4,21.62,24
STA,STA,2025-01-08,21.62,21.69,21.0,21.0,2244
STA,STA,2025-01-09,21.0,21.1,20.9,21.1,3315
STA,STA,2025-01-10,21.1,21.12,20.8,21.08,3142
STA,STA,2025-01-13,21.08,22.1,21.08,22.1,8145
STA,STA,2025-01-14,22.1,22.75,22.1,22.66,5346
STA,STA,2025-01-15,22.66,22.69,22.15,22.55,7224
STA,STA,2025-01-16,22.55,22.55,22.0,22.5,4656
STA,STA,2025-01-17,22.5,23.5,22.0,23.48,8876
STA,STA,2025-01-20,23.48,23.5,23.04,23.5,2199
STA,STA,2025-01-21,23.5,23.5,22.1,22.89,15357
STA,STA,2025-01-22,22.89,22.89,22.0,22.6,3608
STA,STA,2025-01-23,22.6,22.88,22.59,22.86,336
STA,STA,2025-01-24,22.86,22.86,22.0,22.6,9869
STA,STA,2025-01-27,22.6,22.6,22.5,22.59,1108
STA,STA,2025-01-28,22.59,22.59,22.5,22.53,672
STA,STA,2025-01-29,22.53,22.53,21.2,21.8,10605
STA,STA,2025-01-30,21.8,22.57,21.5,21.98,2303
STA,STA,2025-01-31,21.98,22.33,21.34,22.19,448
STA,STA,2025-02-03,22.19,22.24,21.4,21.4,79
STA,STA,2025-02-04,21.4,22.21,21.0,21.8,4462
STA,STA,2025-02-05,21.8,22.0,21.7,21.83,5192
STA,STA,2025-02-06,21.83,22.3,21.82,22.19,603
STA,STA,2025-02-07,22.19,22.29,21.0,21.51,12821
STA,STA,2025-02-10,21.51,22.3,21.51,22.23,2181
STA,STA,2025-02-11,22.23,22.23,21.79,22.2,202
STA,STA,2025-02-12,22.1,22.1,21.1,21.89,12379
STA,STA,2025-02-13,21.89,22.08,21.1,21.83,13051
STA,STA,2025-02-14,21.83,21.83,20.8,20.8,8330
STA,STA,2025-02-17,20.8,21.68,20.8,21.59,7610
STA,STA,2025-02-18,21.59,22.56,21.37,22.55,10110
STA,STA,2025-02-19,22.55,22.75,22.1,22.1,867
STA,STA,2025-02-20,22.1,22.48,21.9,22.42,4089
STA,STA,2025-02-21,22.42,22.42,21.9,21.9,114
STA,STA,2025-02-24,21.9,22.34,21.5,22.25,623
STA,STA,2025-02-25,22.25,22.76,22.25,22.71,3845
STA,STA,2025-02-26,22.71,22.71,22.26,22.68,23
STA,STA,2025-02-27,22.68,22.7,22.28,22.6,486
STA,STA,2025-02-28,22.6,22.6,22.39,22.59,3727
STA,STA,2025-03-03,22.59,23.0,22.59,22.94,836
STA,STA,2025-03-04,22.94,23.0,22.54,22.54,742
STA,STA,2025-03-05,22.54,22.87,22.0,22.87,856
STA,STA,2025-03-06,22.87,22.87,22.84,22.84,801
STA,STA,2025-03-07,22.84,22.9,22.3,22.86,1124
STA,STA,2025-03-11,22.86,22.9,22.49,22.49,710
STA,STA,2025-03-12,22.49,22.79,22.08,22.78,1955
STA,STA,2025-03-13,22.78,22.9,22.45,22.45,593
STA,STA,2025-03-14,22.45,22.75,22.45,22.75,20
STA,STA,2025-03-17,22.75,22.75,22.69,22.69,17
STA,STA,2025-03-18,22.69,22.74,22.5,22.74,140
STA,STA,2025-03-19,22.74,22.74,22.5,22.69,109
STA,STA,2025-03-21,22.69,22.74,22.5,22.5,70
STA,STA,2025-03-24,22.5,22.65,22.5,22.65,3
STA,STA,2025-03-25,22.65,22.65,22.54,22.65,75
STA,STA,2025-03-27,22.65,22.65,22.05,22.5,500
STA,STA,2025-03-28,22.5,22.63,22.0,22.48,927
STA,STA,2025-04-02,22.48,22.7,22.25,22.7,5819
STA,STA,2025-04-04,23.5,24.0,23.45,24.0,1114
STA,STA,2025-04-07,24.0,24.0,24.0,24.0,100
STA,STA,2025-04-08,24.0,24.0,23.65,23.79,106
STA,STA,2025-04-10,23.79,23.8,22.84,23.3,284
STA,STA,2025-04-11,23.3,23.3,21.97,22.85,2188
STA,STA,2025-04-14,22.85,22.85,22.0,22.0,2429
STA,STA,2025-04-15,22.0,22.7,22.0,22.68,2390
STA,STA,2025-04-16,22.68,22.68,21.6,22.68,366
STA,STA,2025-04-17,22.68,22.8,22.0,22.59,233
STA,STA,2025-04-18,22.59,22.59,21.85,22.44,266
STA,STA,2025-04-22,22.44,23.78,22.44,23.78,2379
STA,STA,2025-04-23,23.78,24.4,23.78,23.99,5336
STA,STA,2025-04-24,23.99,23.99,23.7,23.96,236
STA,STA,2025-04-25,23.96,23.97,23.7,23.89,1086
STA,STA,2025-04-28,23.89,24.4,23.89,24.4,59693
STA,STA,2025-04-29,24.4,24.4,23.6,24.27,47
STA,STA,2025-04-30,24.27,24.27,24.15,24.26,13
