symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly
CITY,CITY CARS,2026-02-19,29.64,2720,0.05970682874508415,0.4976503780947951,3.3316676906694633,False,True,False
CITY,CITY CARS,2026-03-02,25.0,10581,-0.05624764061910148,1.1529659336480236,-3.1982334056036006,False,True,False
CITY,CITY CARS,2026-04-27,8.9496,57,-0.58042194092827,-3.7098622228763904,-21.7481657276959,False,True,False
CITY,CITY CARS,2026-04-28,22.92,1391,1.5610083132207029,-0.5523849924650194,19.703019691217026,False,True,False
DH,DELICE HOLDING,2022-11-16,6.5,2214,-0.03703703703703709,-0.060996411418987824,-3.4996073325251476,False,True,False
DH,DELICE HOLDING,2023-05-23,5.96,2676,0.03652173913043488,0.1796588375981282,3.0160578157964824,False,True,False
DH,DELICE HOLDING,2023-10-26,6.03,5756,-0.04664031620553355,0.5318234457983704,-3.741433833171101,False,True,False
DH,DELICE HOLDING,2023-11-14,5.95,1490,0.04845814977973584,-0.42109380717481726,4.218822916231806,False,True,False
DH,DELICE HOLDING,2024-03-08,5.45,319898,-0.013574660633484226,3.003704914902014,-0.8578692119675744,True,False,False
DH,DELICE HOLDING,2024-05-16,5.5,1579424,0.01851851851851838,3.288628369201837,1.8292035037276584,True,False,False
DH,DELICE HOLDING,2024-10-08,7.9,69228,0.03267973856209161,1.127975869322212,3.0929179416379466,False,True,False
DH,DELICE HOLDING,2025-01-24,8.625,35574,0.03603603603603611,1.9231380081811587,3.5452095974302162,False,True,False
DH,DELICE HOLDING,2025-02-11,8.95,32468,0.0437317784256559,1.7172222817001979,4.274948926101618,False,True,False
DH,DELICE HOLDING,2025-02-13,9.595,98838,0.04920721705850206,3.026895316694071,4.676154209243503,True,True,True
DH,DELICE HOLDING,2025-02-14,9.92,173432,0.033871808233454814,3.4834889868349315,2.6323113899192516,True,False,False
DH,DELICE HOLDING,2025-03-18,10.64,41850,0.04313725490196085,1.325519590358921,3.015189685246352,False,True,False
DH,DELICE HOLDING,2025-03-24,10.945,307264,0.018139534883720998,3.29605610490791,0.9357726971977984,True,False,False
DH,DELICE HOLDING,2025-04-16,11.355,64432,0.05972935137657487,1.3444189515467067,3.844692815982609,False,True,False
DH,DELICE HOLDING,2025-04-18,11.1,51640,-0.052901023890785104,1.0554083622859753,-3.6596976808162807,False,True,False
DH,DELICE HOLDING,2025-07-16,12.715,18816,0.05958333333333332,0.4230890092182789,3.9181772555006296,False,True,False
DH,DELICE HOLDING,2025-07-21,13.5,45008,0.05882352941176472,1.39216702417169,3.5497542521448837,False,True,False
DH,DELICE HOLDING,2025-11-26,12.0,183942,-0.0066225165562914245,4.327994679421493,-0.6406131755750577,True,False,False
DH,DELICE HOLDING,2025-12-04,12.65,21904,0.04115226337448563,1.1450313251119175,4.086930701132404,False,True,False
DH,DELICE HOLDING,2026-01-15,13.45,37460,0.059055118110236116,1.5114646454519427,4.926279854617484,False,True,False
ECYCL,EURO-CYCLES,2021-09-15,32.2,27983,0.03536977491961424,2.0059895754809944,3.4540934140853996,False,True,False
ECYCL,EURO-CYCLES,2021-12-01,31.85,8874,-0.034848484848484795,0.9346924052375245,-3.5932867214059567,False,True,False
ECYCL,EURO-CYCLES,2022-04-05,31.0,5170,0.03333333333333344,0.5278929538828782,3.547301784435691,False,True,False
ECYCL,EURO-CYCLES,2022-08-04,33.05,6153,-0.067700987306065,1.069438445038087,-7.001502524624148,False,True,False
ECYCL,EURO-CYCLES,2022-08-18,34.2,30590,0.04268292682926855,3.083755226923818,3.6443725620019642,True,True,True
ECYCL,EURO-CYCLES,2022-10-11,29.39,24623,0.05076868072935303,2.0823801491775114,3.5709553356355164,False,True,False
ECYCL,EURO-CYCLES,2023-03-21,23.88,1923,-0.0598425196850394,-0.43407574575059277,-3.546100785147753,False,True,False
ECYCL,EURO-CYCLES,2023-03-22,22.45,10067,-0.05988274706867669,1.1366056679282537,-3.1662574594002013,False,True,False
ECYCL,EURO-CYCLES,2023-04-12,18.38,18472,0.059976931949250245,1.4344562158821705,3.2797439534489214,False,True,False
ECYCL,EURO-CYCLES,2023-10-23,11.87,5454,0.05982142857142847,0.3358591118552282,4.18536219638423,False,True,False
ECYCL,EURO-CYCLES,2023-10-25,13.33,9515,0.12299915754001689,0.8486687650760056,7.158349537405516,False,True,False
ECYCL,EURO-CYCLES,2024-07-22,11.77,20814,0.03518029903254183,2.091039935290273,3.5616111084334827,False,True,False
ECYCL,EURO-CYCLES,2024-08-15,12.33,21869,0.05927835051546393,1.70581692240908,5.869286578136912,False,True,False
ECYCL,EURO-CYCLES,2024-08-16,12.9,32333,0.04622871046228716,1.9705186938268717,4.025469288701082,False,True,False
ECYCL,EURO-CYCLES,2024-10-21,12.89,15952,0.043724696356275405,1.1459308089559181,3.145097488157369,False,True,False
ECYCL,EURO-CYCLES,2025-01-23,12.44,28673,0.036666666666666625,2.6714140431821143,3.7432290812391917,False,True,False
ECYCL,EURO-CYCLES,2025-02-10,13.19,13423,0.04682539682539688,1.4739683486323563,4.305526619572246,False,True,False
ECYCL,EURO-CYCLES,2025-08-15,12.74,5651,-0.04854368932038833,0.4686921378316859,-4.044059644997337,False,True,False
ECYCL,EURO-CYCLES,2025-08-21,13.3,27277,0.04395604395604402,1.6907071053871252,3.360534054774546,False,True,False
ECYCL,EURO-CYCLES,2025-09-05,13.59,21969,0.051044083526682105,1.6059967629894127,3.8523133304504236,False,True,False
ECYCL,EURO-CYCLES,2025-10-22,12.41,36242,-0.05984848484848482,2.204551510753808,-4.514454325217478,False,True,False
ECYCL,EURO-CYCLES,2025-12-12,12.9,26715,0.041162227602905554,2.0232991840192662,3.1493566328065055,False,True,False
ECYCL,EURO-CYCLES,2026-04-23,11.43,40935,-0.08486789431545239,1.989628960531813,-6.437664517871555,False,True,False
GIF,GIF FILTER,2022-05-31,0.59,64031,0.25531914893617014,2.1144131069667695,8.701243440202333,False,True,False
GIF,GIF FILTER,2022-11-01,0.43,8388,-0.12244897959183676,0.7026231273092532,-3.5502739354339616,False,True,False
GIF,GIF FILTER,2022-11-07,0.48,355,0.11627906976744184,-1.9024709946852023,3.3733813529153416,False,True,False
GIF,GIF FILTER,2023-10-30,0.27,1320,-0.06896551724137923,0.1317046766769402,-3.3799025860640475,False,True,False
GIF,GIF FILTER,2023-11-06,0.3,1158,0.15384615384615374,0.07264073815440052,5.66621334600838,False,True,False
GIF,GIF FILTER,2024-10-22,0.44,14344,0.09999999999999987,1.3410653909468662,5.287328223585642,False,True,False
HL,HANNIBAL LEASE,2021-10-05,3.07,82000,0.013201320132013139,4.590010402843597,,True,False,False
HL,HANNIBAL LEASE,2021-11-22,2.81,2000,-0.05067567567567566,1.001191453444418,-3.6577090075748186,False,True,False
HL,HANNIBAL LEASE,2021-11-23,2.96,666,0.053380782918149405,0.5085662161632837,3.821294318353817,False,True,False
HL,HANNIBAL LEASE,2022-04-01,3.12,1501,0.061224489795918435,0.8094925925315645,3.444404284025467,False,True,False
HL,HANNIBAL LEASE,2022-05-09,3.58,1290,0.08484848484848495,0.5438515301066895,4.166081073221623,False,True,False
HL,HANNIBAL LEASE,2022-05-24,4.0,221,0.11111111111111116,-0.20407386868477834,4.870292657881693,False,True,False
HL,HANNIBAL LEASE,2022-06-02,3.7,255,-0.07499999999999996,-0.16497434164103908,-3.0657706466049275,False,True,False
HL,HANNIBAL LEASE,2022-06-16,3.33,50,-0.13730569948186522,-0.9123866920032383,-4.9689942551255255,False,True,False
HL,HANNIBAL LEASE,2022-06-22,3.94,4830,0.18318318318318316,0.9291078492557582,5.262328460928897,False,True,False
HL,HANNIBAL LEASE,2024-05-28,5.5,1168074,-0.03508771929824561,3.194110540080198,-2.1421121644916057,True,False,False
HL,HANNIBAL LEASE,2024-11-26,7.02,647,-0.04489795918367345,0.03200104105148329,-3.124343182323172,False,True,False
HL,HANNIBAL LEASE,2024-12-10,7.07,1224,-0.04459459459459458,0.3460669241520329,-3.0870915068219733,False,True,False
HL,HANNIBAL LEASE,2024-12-23,7.4,200,0.05714285714285716,-0.5121697976709697,3.2941466308508294,False,True,False
HL,HANNIBAL LEASE,2025-01-03,7.0,5000,-0.05405405405405406,0.9098355879034422,-3.4263676820320232,False,True,False
HL,HANNIBAL LEASE,2025-05-28,7.01,39,-0.059060402684563806,-1.3442730194976364,-4.12835342364912,False,True,False
HL,HANNIBAL LEASE,2025-07-16,7.32,70,0.04422253922967201,-1.2299193529437216,3.3293539926406215,False,True,False
HL,HANNIBAL LEASE,2025-07-29,7.0,1400,0.04477611940298498,0.2576083307595006,3.013938930440527,False,True,False
HL,HANNIBAL LEASE,2026-02-04,7.21,460,-0.03866666666666663,0.021701816841012408,-3.5263509381156473,False,True,False
HL,HANNIBAL LEASE,2026-03-25,7.57,625,0.03698630136986303,0.054430364894613475,3.7699835903909893,False,True,False
HL,HANNIBAL LEASE,2026-03-26,7.25,270,-0.042272126816380484,-0.39074512446749454,-4.196010385531426,False,True,False
HL,HANNIBAL LEASE,2026-03-31,7.5,1786,0.034482758620689724,0.6352251753336714,3.1745581754587193,False,True,False
HL,HANNIBAL LEASE,2026-05-26,7.75,2879,-0.04438964241676935,0.45471206664536246,-3.123297229500007,False,True,False
ICF,ICF,2021-09-13,78.0,885,0.05476673427991874,1.7111837207326694,4.0713434222031175,False,True,False
ICF,ICF,2021-09-16,85.73,7462,0.05996538081107827,2.684184036834641,3.6119793664748427,False,True,False
ICF,ICF,2021-09-17,90.87,3738,0.059955674792954605,2.0867801020522903,3.136815205886069,False,True,False
ICF,ICF,2021-10-21,81.88,1194,-0.05993111366245696,0.8725942628273102,-3.2160309312826323,False,True,False
ICF,ICF,2022-09-01,97.18,7466,0.1234682080924856,2.850703310611547,11.663547584602165,False,True,False
ICF,ICF,2023-04-11,103.96,317,0.040640640640640546,-0.15185542258875348,4.087377060480913,False,True,False
ICF,ICF,2023-04-20,96.78,1787,-0.0599320058280719,1.8199004433130102,-6.015102588684065,False,True,False
ICF,ICF,2023-04-26,95.0,540,-0.040307101727447114,0.41453726852839784,-3.159158569736983,False,True,False
ICF,ICF,2023-05-12,93.4,19431,-0.0010695187165774556,4.080507571754025,0.018458178843065026,True,False,False
ICF,ICF,2023-07-04,92.3,720,-0.05816326530612248,0.696888352553121,-3.762541105800557,False,True,False
ICF,ICF,2023-08-18,77.36,896,0.059726027397260184,1.1774299912136725,4.368859311728438,False,True,False
