symbole,ticker_name,date,cloture,volume,daily_return,volume_zscore,return_zscore,volume_anomaly,price_anomaly,combined_anomaly,status,matched_headline,matched_news_date,gap_days,category,source,priority,baseline_volume,recent_volume,decline_ratio,last_active_date,days_since_active,index_return,index_return_zscore,co_flagged_count,excess_return,tag
LNDOR,LAND'OR,2024-11-05,10.23,10444.0,0.0590062111801241,6.0320728466495295,5.974382843425888,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0009758013414231659,-0.34517948807939547,3.0,0.059982012521547265,MARKET_WIDE
LNDOR,LAND'OR,2024-11-06,10.8,40201.0,0.0557184750733137,19.91406709868198,4.390501289550026,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0028542710716537023,-0.9139186126611948,2.0,0.0585727461449674,COMPANY_SPECIFIC
LNDOR,LAND'OR,2025-03-14,11.49,30927.0,0.0531622364802932,8.278681603383937,5.10995589571732,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.002239390161285937,-0.8994495561140262,2.0,0.05540162664157914,COMPANY_SPECIFIC
LNDOR,LAND'OR,2025-10-31,10.84,177733.0,0.0596285434995111,17.601061210194732,3.5168712342737973,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.005433187193281341,1.384469810591765,3.0,0.05419535630622976,MARKET_WIDE
MGR,SOTUMAG,2024-11-11,6.34,4000.0,-0.03206106870229,3.1864517677512083,-5.066368348869861,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.00011888492041312038,-0.03976344449967202,2.0,-0.03194218378187688,COMPANY_SPECIFIC
MIP,MIP,2022-05-20,0.26,11411.0,0.3,4.142299155506928,3.8167422637349495,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-4.6468719035130945e-05,-0.17945792363353877,0.0,0.3000464687190351,COMPANY_SPECIFIC
MPBS,MPBS,2025-02-13,5.29,223478.0,0.0590590590590589,20.254254693988223,4.538382600374551,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.004869980972825205,1.3331069211377133,1.0,0.054189078086233695,COMPANY_SPECIFIC
NAKL,ENNAKL AUTOMOBILES,2023-12-01,11.1,5700.0,-0.0593220338983051,5.756492784000391,-3.1364484449968697,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0001270865809396282,0.17651966855152282,1.0,-0.05919494731736547,COMPANY_SPECIFIC
NAKL,ENNAKL AUTOMOBILES,2024-03-04,10.35,6084.0,-0.0675675675675675,4.906005824900594,-3.2571392738798832,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.014495542075669166,4.3135715153357586,23.0,-0.08206310964323667,MARKET_WIDE
NBL,NEW BODY LINE,2021-08-06,5.24,12884.0,0.0438247011952193,3.658070417287975,3.907989985027733,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.000859707288178857,0.4202797253490553,2.0,0.04296499390704044,COMPANY_SPECIFIC
NBL,NEW BODY LINE,2023-10-30,4.9,2873.0,-0.0277777777777776,3.458760983471078,-3.3001158483292303,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0027480015073126918,-0.47673100964747517,0.0,-0.025029776270464908,COMPANY_SPECIFIC
NBL,NEW BODY LINE,2024-12-24,4.81,4965.0,0.0344086021505374,5.513706568042746,4.278019870557927,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0003721611336352515,-0.11193466211633389,2.0,0.03478076328417265,COMPANY_SPECIFIC
NBL,NEW BODY LINE,2024-12-25,4.95,8760.0,0.0291060291060292,8.399373292062139,3.125260946328712,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0013151891191369725,0.5110996722071713,3.0,0.02779083998689223,MARKET_WIDE
NBL,NEW BODY LINE,2025-04-15,5.14,31240.0,0.0511247443762781,5.5324162639603625,4.282448631058071,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.003940666973132556,0.5565866638744168,3.0,0.04718407740314554,MARKET_WIDE
OTH,ONE TECH,2022-07-12,8.05,32076.0,0.0592105263157896,3.874176440304778,6.993613144926034,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.00047834301977944804,-0.040631622139496636,3.0,0.058732183296010154,MARKET_WIDE
PGH,POULINA GROUP HOLDING,2021-09-14,12.25,68184.0,-0.0369496855345912,8.140690145244525,-4.337257046184327,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.004246838205621661,-1.9051022635765498,2.0,-0.03270284732896954,COMPANY_SPECIFIC
PGH,POULINA GROUP HOLDING,2025-02-27,8.73,36073.0,0.0343601895734597,3.798542958022652,3.231645079211533,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.007284992839375892,1.7769587953261048,3.0,0.02707519673408381,MARKET_WIDE
PGH,POULINA GROUP HOLDING,2025-03-12,9.59,40090.0,0.0423913043478261,3.639007904024459,3.2756377993834658,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.014468084307339257,3.5167284791480857,6.0,0.02792322004048684,MARKET_WIDE
PGH,POULINA GROUP HOLDING,2025-03-14,10.0,439026.0,0.044932079414838,44.11576584555903,3.158444690447767,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.002239390161285937,-0.8994495561140262,2.0,0.047171469576123934,COMPANY_SPECIFIC
PLAST,OFFICE PLAST,2023-05-30,1.03,7871.0,-0.1196581196581195,8.427058857151756,-3.082438551554463,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0022937309286907848,0.28205051434338324,3.0,-0.12195185058681028,MARKET_WIDE
PLAST,OFFICE PLAST,2025-12-10,1.61,12017.0,-0.0747126436781608,5.661086792533117,-3.0111641554038675,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0017114637060791082,-0.9370959919181855,4.0,-0.07300117997208169,MARKET_WIDE
SAH,SAH,2023-07-11,8.75000017569445,649553.0,-0.0566037735849057,6.983760219794119,-8.678742855034155,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.001386428065202061,-0.9449552360265268,0.0,-0.05521734551970364,COMPANY_SPECIFIC
SAM,MEUBLES INTERIEURS,2022-10-06,3.18,34860.0,0.06,5.760360295926301,4.412645391944431,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.00033537085406964984,-0.4507272980331198,3.0,0.06033537085406965,MARKET_WIDE
SAM,MEUBLES INTERIEURS,2025-02-27,6.57,45541.0,0.0545746388443018,6.887758816452299,4.85615305838332,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.007284992839375892,1.7769587953261048,3.0,0.047289646004925905,MARKET_WIDE
SCB,CIMENTS DE BIZERTE,2022-03-15,1.84,12200.0,-0.1153846153846154,5.593904137131583,-5.641491881574138,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.009830423778219854,2.688633000133205,3.0,-0.12521503916283527,MARKET_WIDE
SERVI,SERVICOM,2022-09-21,0.41,438886.0,-0.3970588235294118,27.862159128371832,-4.673008153924645,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,0.0050455130138293836,1.198371479968012,2.0,-0.4021043365432412,COMPANY_SPECIFIC
SERVI,SERVICOM,2023-08-03,0.21,108430.0,-0.2500000000000001,5.754294907699327,-3.5861012411198687,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.00027104744780370726,-0.5370962192626078,1.0,-0.2497289525521964,COMPANY_SPECIFIC
SERVI,SERVICOM,2023-08-16,0.3,100621.0,0.4285714285714286,4.160174421776943,5.751658404413323,True,True,True,UNEXPLAINED,,,,,spike_detector,1,,,,,,-0.0032383020540246443,-1.5796410340069051,0.0,0.43180973062545325,COMPANY_SPECIFIC
